vs gh kw
-2.973167 -3.198333 -6.358
14.27833 15.18333 10.15167
19.39667 15.24 26.385
7.312833 -7.018 -5.733667
20.74833 8.88 23.87333
16.72167 18.275 7.735333
22.39 23.32167 5.753
28.96167 28.10333 28.095
32.63333 42.535 33.50667
29.03 30.21 39.80167
26.465 15.975 27.27667
-6.576167 8.828667 7.248167
24.46833 29.26667 33.69
29.33833 16.45167 34.77667
25.365 21.79167 39.415
33.66167 -12.83333 -25.615
20.185 21.78833 37.36167
-14.22667 -18.98 -22.63167
32.22667 21.10833 34.16
27.53333 28.78167 12.01667
22.785 26.88833 15.515
19.605 -2.43 18.55167
23.26 11.03833 30.91
20.61833 15.18833 28.43
28.77833 17.45 26.20667
35.67833 23.07333 37.43833
17.52833 21.47667 7.392833
12.19333 8.220667 26.66
18.08 -14.33833 33.64833
31.315 16.81333 25.51667
16.585 11.60333 -17.83667
12.74833 -6.3915 -12.68333
25.74667 6.580833 23.87333
23.07417 23.03167 37.97333
22.55 21.45 17.78667
-7.919167 18.04667 6.557333
23.52667 20.67833 26.53333
9.735 8.21 26.585
23.6 25.06 11.34
22.93833 12.34833 36.07333
26.205 7.87 31.68
-42.665 -8.74 -32.97667
31.115 26.42333 32.74333
-4.652833 -4.879167 -11.31333
19.59333 22.76167 25.95833
3.0815 -17.80167 11.705
26.46167 -11.86333 -16.58833
19.225 21.65667 38.84167
22.03667 16.74833 18.36833
26.60833 14.36 33.14833
15.37833 14.77167 22.00333
21.92167 23.07 22.01333
21.19833 14.27 21.53833
-2.402167 -14.39167 7.001667
14.61 14.91667 10.97833
26.33 25.605 21.77667
36.675 32.59167 37.88333
-12.01167 18.015 -7.733167
19.60833 17.39 26.90333
21.04667 24.095 28.39667
21.56667 24.45333 34.60333
-7.433667 -19.96667 -10.35667
9.2365 14.28 24.59667
13.02 20.58667 8.717167
19.10667 20.31833 13.72833
5.787333 3.6445 8.65
24.58167 23.23333 15.265
19.92333 19.39667 22.84833
39.63167 26.88333 40.63833
15.74667 17.535 13.26333
16.43667 9.405 -4.697667
24.09 18.15667 9.635
18.95833 24.42333 23.79333
23.50833 22.72667 12.60833
18.34333 16.42833 9.568333
19.075 16.18333 21.14333
20.84833 11.48167 -9.238333
14.47667 13.14667 7.115
23.35667 23.55667 14.91
35.36167 29.52 38.105
23.16667 27.89 20.15333
25.27333 26.78 11.805
-14.015 -8.573333 4.512333
-16.26 -10.54 9.893333
27.485 17.88 8.2125
-5.212667 -2.889 -10.69667
11.48167 16.46 -8.237
7.003 -11.31667 13.54333
31.445 27.62333 26.41833
22.27333 22.16 31.99667
19.565 17.44667 16.415
-3.844667 -11.54667 16.56333
10.02667 13.11167 10.18333
4.111333 -14.24167 -4.9375
34.25167 29.03167 33.73333
18.94333 21.37833 19.085
16.95667 21.195 -5.4125
11.71667 10.82167 13.90333
9.51 -7.3755 5.344833
2.463167 -3.488833 -3.278333
6.516167 -7.773333 4.269833
5.308667 -13 -12.48
20.205 26.36667 -13.11117
31.89167 24.78 29.245
31.21667 33.57667 28.685
26.13667 27.12167 22.46
24.185 19.92167 12.86167
27.99333 23.58167 25.44167
22.19 19.62833 33.05
17.49667 18.47667 9.151667
4.387667 12.875 6.411833
2.707833 -13.02333 4.085167
23.215 29.64667 17.66833
35.62333 32.06667 29.56
35.33833 29.18833 26.29833
24.695 18.51167 23.42
29.315 22.765 26.26
18.84167 25.63667 7.205167
22.50667 22.09167 7.0665
13.89833 18.425 10.085
21.18333 12.32333 14.46333
12.09 19.415 15.60417
9.041667 7.681333 9.043333
-10.76667 -10.48333 -16.95
37.44167 31.31167 40.73667
18.64667 22.14333 6.890167
15.33167 16.05333 -10.0315
22.08167 15.33167 20.55333
25.97 23.185 -15.94667
21.21 23.46333 22.55333
17.76167 17.855 10.38333
22.41667 15.42833 -13.525
45.445 32.685 30.555
18.68167 11.08833 18.94833
6.787667 -8.418333 9.833333
17.64 13.07333 -3.893167
26.905 30.625 27.86
27.79667 23.865 27.54667
21.27 21.31333 15.29
-6.105167 18.51667 -12.15667
31.465 27.91333 31.60333
23.63333 14.50167 13.425
2.705167 -0.6076667 2.2445
21.69 21.00167 12.91333
32.48167 19.17667 17.67
8.745 14.61833 9.049167
12.51667 12.01667 8.022
23.545 25.26667 11.57833
23.58833 20.965 -24.42833
27.82333 26.81167 14.565
28.85833 21.72667 28.75833
26.18333 17.07333 -29.84
-13.825 13.57833 -19.72167
23.11167 16.76167 11.565
18.95667 18.61 12.48167
25.935 22.37167 19.84333
30.33833 26.82667 21.60667
23.32167 22.09833 -13.57833
27.36 26.33167 40.35167
26.19333 20.84833 -25.79
-27.655 -4.744667 -32.69167
22.495 24.33667 24.315
15.865 25.82333 13.75
6.120083 7.037 8.263167
19.465 20.15667 6.071167
21.50833 24.01667 9.84
20.73167 22.38 13.71167
19.46833 22.305 10.15333
13.465 13.64333 7.725
-4.853333 -4.7785 10.64167
8.903333 -3.110333 16.15167
47.59167 20.72667 47.67167
21.925 19.57667 16.84167
11.31333 7.105833 6.234333
14.12667 21.32 8.122833
27.08833 20.48167 19.40833
9.965333 -2.150667 -4.112167
18.78333 16.61167 24.46
32.37167 25.15833 33.06
20.65167 14.92833 14.865
-9.533333 8.342333 3.6635
22.985 20.37333 20.21833
29.46333 19.14833 28.87333
8.741667 2.599333 12.005
8.791667 5.2685 11.24833
11.27167 -5.289 7.210667
8.146667 5.052333 4.806833
19.14 17.215 10.003
5.123167 -5.077833 9.225
-2.182167 4.334167 -7.289
19.84667 29.12667 -16.71667
15.76333 20.285 9.11
15.14667 13.99333 4.934167
36.25 27.445 45.00833
30.67 16.97 40.53833
22.64833 9.933333 -30.56167
21.32167 23.50167 16.88667
34.99667 17.39 33.6
35.14667 24.48667 28.00667
13.725 -4.028667 -12.77483
-10.36833 -2.031333 -10.87
8.783333 19.175 10.41
25.00667 22.25833 30.08
25.29333 20.39167 16.28167
22.44333 5.199333 22.82667
28.54833 17.77833 23.66667
19.66667 13.06667 12.75167
13.42 10.83333 7.521833
13.715 1.033667 8.783333
-2.212833 10.50667 10.21
-3.986667 -7.429167 7.902833
25.49333 22.27667 18.49667
22.89667 6.583333 16.11333
7.811667 -10.82167 13.28
8.791667 -9.868333 9.715
4.390167 -3.969167 11.67833
7.768667 -14.01333 -18.70833
6.344833 -3.597833 -6.798167
17.36833 20.20833 17.56167
9.976667 -4.186167 8.038
-2.816167 -6.040833 -8.505
14.69833 6.8515 14.915
19.96333 13.92667 21.34
28.81667 18.85667 34.885
15.16667 3.339167 20.83833
26.63167 21.63 34.93833
24.68 19.76833 21.77833
-15.615 -1.336167 -17.95
32.14667 20.69167 30.67667
39.23667 23.08667 43.66167
4.814 -10.39667 11.79
-9.37 -4.682667 -8.418333
-18.49833 11.08 34.09
24.45833 20.345 34.86167
-4.523333 -4.4175 -4.204667
20.40667 24.65333 -12.48833
-6.533833 -5.428833 -6.6045
24.575 15.36667 39.785
-9.379167 3.858167 11.905
42.805 24.365 48.255
8.368333 -3.887833 9.34
4.554333 -5.060167 -3.6205
1.175 -4.387 -3.8805
17.48167 11.68 22.26333
26.59167 22.68333 19.45167
20.73667 37.855 10.08733
13.15167 26.84667 -32.24333
-11.92667 -30.515 -23.505
15.27 1.134667 6.678667
